command: /Users/marcosadriano/learning/mestrado/optimization/src/branch_and_bound --portfolio /Users/marcosadriano/learning/mestrado/optimization/inputs/port4.txt --k 10 - -
cwd: /Users/marcosadriano/learning/mestrado/optimization/src
started: 2026-06-11T15:37:29.190006

generation,risk,expectedReturn
1,0.00040007279197910861,0.0048797308775008451
1,0.00025350491775125855,0.0035520744561495636
1,0.00028503441859163242,0.0036659851158142619
1,0.0002775306792853586,0.0036572918514821066
1,0.0002911994487144693,0.0037004573708028458
1,0.00020129229624901658,0.0030428807862393861
1,0.00022711658772313169,0.0032197932156172934
1,0.00033668047450290979,0.0040766734528966944
1,0.00030387548869008699,0.0038430416924866992
1,0.00023568429912321307,0.0035457062058598205
1,0.00066427589807774941,0.0050558425922148948
1,0.00034445093520886835,0.0042655316128747791
1,0.00030319690490270701,0.0037629137413843806
1,0.00036373527831189709,0.0043738766712443488
1,0.0003000544876452772,0.0037100207902184684
1,0.0007793348675341989,0.0060557374540578923
2,0.00040007279197910861,0.0048797308775008451
2,0.00025350491775125855,0.0035520744561495636
2,0.0002775306792853586,0.0036572918514821066
2,0.00020129229624901658,0.0030428807862393861
2,0.00022711658772313169,0.0032197932156172934
2,0.00033668047450290979,0.0040766734528966944
2,0.00023568429912321307,0.0035457062058598205
2,0.00034445093520886835,0.0042655316128747791
2,0.0007793348675341989,0.0060557374540578923
2,0.00027788466695313985,0.003879329788200762
2,0.00064386910538204894,0.005397512303923443
2,0.000362417345371658,0.0044913043482693732
2,0.00034655373033998032,0.0044273867664081281
2,0.00094250100962748955,0.0063778874860520151
2,0.00027693443922181837,0.0035569916696774791
2,0.00032300065427850756,0.0039875081278749813
2,0.00052916724231003411,0.0052902521763660169
2,0.00046910856524614924,0.0049468865175170086
3,0.00040007279197910861,0.0048797308775008451
3,0.00025350491775125855,0.0035520744561495636
3,0.0002775306792853586,0.0036572918514821066
3,0.00020129229624901658,0.0030428807862393861
3,0.00022711658772313169,0.0032197932156172934
3,0.00023568429912321307,0.0035457062058598205
3,0.0007793348675341989,0.0060557374540578923
3,0.00027788466695313985,0.003879329788200762
3,0.000362417345371658,0.0044913043482693732
3,0.00034655373033998032,0.0044273867664081281
3,0.00094250100962748955,0.0063778874860520151
3,0.00027693443922181837,0.0035569916696774791
3,0.00046910856524614924,0.0049468865175170086
3,0.0003714200704031504,0.0046196760399544595
3,0.0006885168818134001,0.0058578511945530098
3,0.00069784094239550975,0.0060506893728156331
3,0.0003194362622449459,0.0041694228716093358
3,0.00047266548060117636,0.0050939459959323417
3,0.00048386521659578996,0.0051348330547838373
3,0.00036629687043455902,0.0045327648675311978
3,0.00034109556776335985,0.0043981785754767999
3,0.0004950377440488484,0.0056299230825946614
3,0.00060580532495967229,0.0057966833363807552
4,0.00040007279197910861,0.0048797308775008451
4,0.00025350491775125855,0.0035520744561495636
4,0.0002775306792853586,0.0036572918514821066
4,0.00020129229624901658,0.0030428807862393861
4,0.00022711658772313169,0.0032197932156172934
4,0.00023568429912321307,0.0035457062058598205
4,0.00027788466695313985,0.003879329788200762
4,0.00034655373033998032,0.0044273867664081281
4,0.00094250100962748955,0.0063778874860520151
4,0.00027693443922181837,0.0035569916696774791
4,0.0003194362622449459,0.0041694228716093358
4,0.00034109556776335985,0.0043981785754767999
4,0.0004950377440488484,0.0056299230825946614
4,0.00057868421029009143,0.0059581878025449014
4,0.00030538540244498671,0.0040641599394924599
4,0.00036728838508275362,0.0047076280111577216
4,0.00041486257048306926,0.0049406833817388978
4,0.0004824995073931807,0.0053777893879213287
4,0.0012741376298874207,0.0078425222051977401
4,0.00042694763580290382,0.0052838516217540016
4,0.00072529221970311117,0.0061690308781979829
4,0.0006004708170837226,0.0060762236177135179
4,0.00043365665756493841,0.0053688302155586263
4,0.00037095424013584193,0.0047203017398036928
4,0.00060048785603675615,0.0061404598079888312
4,0.00029215952933381187,0.0040575260853223149
4,0.00032698196234564838,0.0041826624423697356
4,0.0003611261491280855,0.0046151630262680982
4,0.00033108490424480966,0.004336055277953812
5,0.00040007279197910861,0.0048797308775008451
5,0.00025350491775125855,0.0035520744561495636
5,0.00020129229624901658,0.0030428807862393861
